Frecuencia(Hz)	Magnitud(V)
0.00	0.00097
1.86	0.00088
3.72	0.00068
5.58	0.00050
7.44	0.00041
9.30	0.00039
11.16	0.00042
13.01	0.00045
14.87	0.00050
16.73	0.00056
18.59	0.00059
20.45	0.00059
22.31	0.00057
24.17	0.00056
26.03	0.00052
27.89	0.00045
29.75	0.00035
31.61	0.00025
33.47	0.00023
35.33	0.00032
37.19	0.00046
39.04	0.00056
40.90	0.00056
42.76	0.00051
44.62	0.00049
46.48	0.00049
48.34	0.00051
50.20	0.00055
52.06	0.00058
53.92	0.00053
55.78	0.00041
57.64	0.00036
59.50	0.00043
61.36	0.00052
63.22	0.00053
65.07	0.00061
66.93	0.00084
68.79	0.00101
70.65	0.00091
72.51	0.00075
74.37	0.00084
76.23	0.00103
78.09	0.00095
79.95	0.00094
81.81	0.00156
83.67	0.00217
85.53	0.00142
87.39	0.00064
89.25	0.00231
91.10	0.00597
92.96	0.00071
94.82	0.03119
96.68	0.08595
98.54	0.13916
100.40	0.15741
102.26	0.12843
104.12	0.07246
105.98	0.02344
107.84	0.00082
109.70	0.00155
111.56	0.00220
113.42	0.00286
115.28	0.00137
117.13	0.00077
118.99	0.00112
120.85	0.00108
122.71	0.00056
124.57	0.00042
126.43	0.00071
128.29	0.00085
130.15	0.00068
132.01	0.00051
133.87	0.00044
135.73	0.00030
137.59	0.00013
139.45	0.00016
141.31	0.00041
143.16	0.00058
145.02	0.00058
146.88	0.00050
148.74	0.00044
150.60	0.00039
152.46	0.00035
154.32	0.00038
156.18	0.00044
158.04	0.00045
159.90	0.00041
161.76	0.00037
163.62	0.00032
165.48	0.00024
167.34	0.00015
169.19	0.00010
171.05	0.00016
172.91	0.00025
174.77	0.00031
176.63	0.00030
178.49	0.00021
180.35	0.00011
182.21	0.00008
184.07	0.00013
185.93	0.00025
187.79	0.00039
189.65	0.00046
191.51	0.00044
193.37	0.00034
195.22	0.00020
197.08	0.00009
198.94	0.00006
200.80	0.00003
202.66	0.00004
204.52	0.00011
206.38	0.00015
208.24	0.00018
210.10	0.00018
211.96	0.00018
213.82	0.00020
215.68	0.00020
217.54	0.00018
219.40	0.00014
221.25	0.00011
223.11	0.00009
224.97	0.00006
226.83	0.00002
228.69	0.00002
230.55	0.00001
232.41	0.00002
234.27	0.00005
236.13	0.00008
237.99	0.00009
239.85	0.00009
241.71	0.00012
243.57	0.00019
245.43	0.00027
247.28	0.00027
249.14	0.00019
251.00	0.00014
252.86	0.00024
254.72	0.00031
256.58	0.00029
258.44	0.00020
260.30	0.00010
262.16	0.00010
264.02	0.00017
265.88	0.00020
267.74	0.00017
269.60	0.00012
271.46	0.00008
273.31	0.00009
275.17	0.00013
277.03	0.00019
278.89	0.00023
280.75	0.00023
282.61	0.00018
284.47	0.00014
286.33	0.00011
288.19	0.00010
290.05	0.00009
291.91	0.00008
293.77	0.00006
295.63	0.00003
297.49	0.00003
299.34	0.00010
301.20	0.00016
303.06	0.00021
304.92	0.00022
306.78	0.00019
308.64	0.00015
310.50	0.00016
312.36	0.00021
314.22	0.00025
316.08	0.00023
317.94	0.00021
319.80	0.00022
321.66	0.00021
323.52	0.00017
325.37	0.00012
327.23	0.00011
329.09	0.00012
330.95	0.00011
332.81	0.00007
334.67	0.00003
336.53	0.00002
338.39	0.00006
340.25	0.00017
342.11	0.00027
343.97	0.00030
345.83	0.00027
347.69	0.00018
349.55	0.00009
351.40	0.00003
353.26	0.00007
355.12	0.00011
356.98	0.00014
358.84	0.00015
360.70	0.00017
362.56	0.00021
364.42	0.00027
366.28	0.00029
368.14	0.00026
370.00	0.00022
371.86	0.00019
373.72	0.00013
375.57	0.00004
377.43	0.00010
379.29	0.00023
381.15	0.00029
383.01	0.00025
384.87	0.00014
386.73	0.00002
388.59	0.00006
390.45	0.00009
392.31	0.00008
394.17	0.00007
396.03	0.00006
397.89	0.00002
399.75	0.00003
401.60	0.00005
403.46	0.00006
405.32	0.00008
407.18	0.00012
409.04	0.00016
410.90	0.00019
412.76	0.00017
414.62	0.00012
416.48	0.00010
418.34	0.00014
420.20	0.00017
422.06	0.00017
423.92	0.00016
425.78	0.00015
427.63	0.00013
429.49	0.00013
431.35	0.00019
433.21	0.00024
435.07	0.00021
436.93	0.00010
438.79	0.00002
440.65	0.00010
442.51	0.00010
444.37	0.00007
446.23	0.00008
448.09	0.00013
449.95	0.00014
451.81	0.00012
453.66	0.00007
455.52	0.00003
457.38	0.00004
459.24	0.00006
461.10	0.00008
462.96	0.00008
464.82	0.00003
466.68	0.00006
468.54	0.00014
470.40	0.00017
472.26	0.00013
474.12	0.00007
475.98	0.00004
477.84	0.00006
479.69	0.00014
481.55	0.00022
483.41	0.00026
485.27	0.00023
487.13	0.00016
488.99	0.00009
490.85	0.00004
492.71	0.00005
494.57	0.00014
496.43	0.00021
498.29	0.00025
500.15	0.00024
502.01	0.00021
503.87	0.00019
505.72	0.00017
507.58	0.00014
509.44	0.00011
511.30	0.00009
513.16	0.00010
515.02	0.00012
516.88	0.00015
518.74	0.00018
520.60	0.00018
522.46	0.00014
524.32	0.00011
526.18	0.00008
528.04	0.00004
529.90	0.00010
531.75	0.00018
533.61	0.00020
