Frecuencia(Hz)	Magnitud(V)
0.00	0.00266
7.44	0.00067
14.87	0.00072
22.31	0.00083
29.75	0.00098
37.19	0.00143
44.62	0.00221
52.06	0.00192
59.50	0.00228
66.94	0.00280
74.37	0.00345
81.81	0.00366
89.25	0.00425
96.69	0.00451
104.12	0.00499
111.56	0.00617
119.00	0.00683
126.44	0.00795
133.87	0.00900
141.31	0.01084
148.75	0.01204
156.18	0.01490
163.62	0.01856
171.06	0.02524
178.50	0.03243
185.93	0.05634
193.37	0.15287
200.81	0.31457
208.25	0.11641
215.68	0.05261
223.12	0.03535
230.56	0.02705
238.00	0.02128
245.43	0.01855
252.87	0.01596
260.31	0.01422
267.75	0.01237
275.18	0.01187
282.62	0.01079
290.06	0.01028
297.50	0.00925
304.93	0.00895
312.37	0.00872
319.81	0.00822
327.24	0.00721
334.68	0.00713
342.12	0.00667
349.56	0.00697
356.99	0.00619
364.43	0.00604
371.87	0.00600
379.31	0.00594
386.74	0.00542
394.18	0.00541
401.62	0.00541
409.06	0.00506
416.49	0.00509
423.93	0.00504
431.37	0.00450
438.81	0.00450
446.24	0.00437
453.68	0.00403
461.12	0.00432
468.55	0.00460
475.99	0.00417
483.43	0.00403
490.87	0.00440
498.30	0.00424
505.74	0.00388
513.18	0.00387
520.62	0.00398
528.05	0.00372
535.49	0.00351
542.93	0.00351
550.37	0.00364
557.80	0.00325
565.24	0.00350
572.68	0.00340
580.12	0.00343
587.55	0.00346
594.99	0.00339
602.43	0.00316
609.86	0.00294
617.30	0.00294
624.74	0.00314
632.18	0.00309
639.61	0.00334
647.05	0.00310
654.49	0.00307
661.93	0.00315
669.36	0.00337
676.80	0.00284
684.24	0.00283
691.68	0.00272
699.11	0.00291
706.55	0.00302
713.99	0.00300
721.43	0.00270
728.86	0.00289
736.30	0.00278
743.74	0.00285
751.18	0.00284
758.61	0.00298
766.05	0.00280
773.49	0.00259
780.92	0.00266
788.36	0.00267
795.80	0.00271
803.24	0.00285
810.67	0.00265
818.11	0.00284
825.55	0.00304
832.99	0.00301
840.42	0.00277
847.86	0.00272
855.30	0.00239
862.74	0.00296
870.17	0.00278
877.61	0.00271
885.05	0.00258
892.49	0.00263
899.92	0.00237
907.36	0.00269
914.80	0.00291
922.23	0.00290
929.67	0.00231
937.11	0.00247
944.55	0.00267
