f	        v
0.000062	1.00730
0.000629	1.13626
0.001171	1.48199
0.001699	1.89299
0.002224	2.20483
0.002782	2.25720
0.003308	2.04607
0.003833	1.67299
0.004359	1.27327
0.004900	1.03152
0.005426	1.04199
0.005951	1.32242
0.006476	1.72858
0.007001	2.08318
0.007526	2.26526
0.008051	2.19033
0.008576	1.85754
0.009122	1.44246
0.009647	1.12014
0.010172	1.01213
0.010697	1.16607
0.011222	1.51825
0.011747	1.92360
0.012273	2.21531
0.012799	2.26526
0.013324	2.03559
0.013850	1.65768
0.014375	1.26280
0.014900	1.03066
0.015426	1.04521
0.015951	1.31275
0.016476	1.72133
0.017001	2.11379
0.017550	2.27498
0.018077	2.17100
0.018602	1.84460
0.019127	1.44166
0.019653	1.11128
0.020178	1.00649
0.020703	1.16204
0.021228	1.52147
0.021753	1.92844
0.022279	2.21531
0.022804	2.25398
0.023329	2.04204
0.023855	1.65446
0.024380	1.26280
0.024905	1.02986
0.025430	1.05810
0.025955	1.33128
0.026482	1.72616
0.027007	2.09526
0.027533	2.26284
0.028059	2.17664
0.028585	1.86398
0.029111	1.44896
0.029636	1.12336
0.030161	1.00569
0.030686	1.15559
0.031211	1.51502
0.031736	1.92038
0.032261	2.20725
0.032786	2.26204
0.033311	2.04929
0.033836	1.63990
0.034410	1.24507
0.034936	1.02744
0.035461	1.06133
0.035987	1.37317
0.036512	1.75355
0.037038	2.11702
0.037564	2.27095
0.038090	2.16938
0.038616	1.83815
0.039141	1.43441
0.039666	1.10967
0.040191	1.00246
0.040716	1.17654
0.041241	1.54081
0.041767	1.94294
0.042293	2.22095
0.042819	2.25317
0.043345	2.02834
0.043870	1.63910
0.044395	1.25635
0.044920	1.03066
0.045445	1.05891
0.045970	1.33289
0.046495	1.73019
0.047020	2.09929
0.047545	2.27256
0.048070	2.17261
0.048595	1.85834
0.049121	1.45218
0.049647	1.10967
0.050172	1.01213
0.050697	1.15801
0.051223	1.52228
0.051750	1.93005
0.052275	2.21450
0.052800	2.25881
0.053325	2.03720
0.053850	1.65526
0.054376	1.26844
0.054902	1.02986
0.055428	1.05005
0.055954	1.32806
0.056479	1.72858
0.057004	2.09285
0.057530	2.26768
0.058055	2.18308
0.058580	1.87607
0.059106	1.45379
0.059631	1.12417
0.060157	1.00971
0.060682	1.15237
0.061208	1.51019
0.061734	1.91071
0.062259	2.20806
0.062785	2.26365
0.063311	2.05251
0.063836	1.67299
0.064361	1.27891
0.064886	1.03313
0.065412	1.05085
0.065938	1.30872
0.066463	1.71005
0.066988	2.08962
0.067514	2.26607
0.068132	2.15085
0.068657	1.80995
0.069182	1.40137
0.069707	1.08791
0.070232	1.01777
0.070757	1.19507
0.071282	1.56820
0.071807	1.97194
0.072332	2.23303
0.072858	2.24512
0.073383	2.00659
0.073909	1.61171
0.074435	1.22810
0.074961	1.02180
0.075486	1.07422
0.076012	1.36351
0.076537	1.77047
0.077062	2.12104
0.077587	2.27417
0.078112	2.16052
0.078637	1.82043
0.079163	1.41426
0.079688	1.09919
0.080213	1.01858
0.080738	1.18460
0.081263	1.54886
0.081788	1.94697
0.082313	2.23062
0.082838	2.24995
0.083363	2.01384
0.083888	1.62621
0.084413	1.23782
0.084939	1.02019
0.085464	1.06213
0.085989	1.34578
0.086514	1.74953
0.087040	2.11057
0.087566	2.27417
0.088091	2.17019
0.088616	1.84540
0.089141	1.43038
0.089666	1.08872
0.090191	1.01294
0.090716	1.17332
0.091241	1.53517
0.091766	1.94133
0.092292	2.22336
0.092817	2.25640
0.093342	2.03076
0.093867	1.64313
0.094392	1.25555
0.094917	1.02663
