Tiempo(s)	Voltaje(V)
0.000061	1.97597
0.000647	2.24270
0.001178	2.23062
0.001703	1.97114
0.002228	1.55450
0.002786	1.18379
0.003311	1.01294
0.003836	1.10081
0.004362	1.42877
0.004903	1.84298
0.005429	2.16616
0.005954	2.26848
0.006479	2.11057
0.007004	1.75033
0.007530	1.33531
0.008056	1.06374
0.008581	1.02583
0.009127	1.25555
0.009655	1.64554
0.010180	2.03237
0.010705	2.25559
0.011230	2.21934
0.011756	1.93649
0.012281	1.53194
0.012807	1.16929
0.013331	1.00649
0.013857	1.10886
0.014383	1.43199
0.014909	1.84137
0.015435	2.16858
0.015959	2.26934
0.016484	2.10976
0.017010	1.73744
0.017558	1.32564
0.018084	1.05327
0.018609	1.02986
0.019134	1.26038
0.019659	1.65204
0.020184	2.03237
0.020709	2.25720
0.021235	2.21692
0.021761	1.93247
0.022287	1.52469
0.022812	1.16929
0.023337	1.01213
0.023862	1.11531
0.024387	1.43441
0.024912	1.84782
0.025437	2.17019
0.025962	2.27014
0.026488	2.10654
0.027013	1.74066
0.027539	1.33772
0.028065	1.05810
0.028590	1.02663
0.029115	1.24910
0.029641	1.63507
0.030166	2.02592
0.030691	2.25076
0.031216	2.22014
0.031741	1.94294
0.032267	1.54322
0.032792	1.17976
0.033317	1.00891
0.033842	1.11209
0.034417	1.46104
0.034941	1.86962
0.035467	2.18469
0.035993	2.26934
0.036517	2.08801
0.037042	1.71730
0.037568	1.32242
0.038094	1.05488
0.038620	1.02986
0.039145	1.27005
0.039670	1.66010
0.040196	2.04365
0.040720	2.25720
0.041245	2.21209
0.041771	1.92602
0.042297	1.51986
0.042823	1.16123
0.043348	1.00569
0.043874	1.11772
0.044399	1.44574
0.044924	1.86076
0.045449	2.17502
0.045975	2.26848
0.046499	2.10090
0.047024	1.73100
0.047550	1.33611
0.048076	1.05810
0.048601	1.02986
0.049126	1.25474
0.049651	1.64635
0.050177	2.02753
0.050702	2.25559
0.051227	2.21772
0.051754	1.93569
0.052278	1.53436
0.052804	1.17493
0.053328	1.00891
0.053853	1.11047
0.054379	1.43199
0.054903	1.84137
0.055429	2.16697
0.055955	2.27095
0.056480	2.11299
0.057005	1.74953
0.057531	1.34498
0.058056	1.06213
0.058583	1.02260
0.059108	1.24668
0.059634	1.63185
0.060159	2.01787
0.060684	2.25076
0.061210	2.22417
0.061735	1.94858
0.062260	1.54725
0.062785	1.18298
0.063310	1.01052
0.063835	1.10242
0.064360	1.40218
0.064885	1.82687
0.065410	2.15972
0.065935	2.27176
0.066461	2.11863
0.066985	1.76645
0.067510	1.33531
0.068128	1.04280
0.068654	1.04038
0.069180	1.29019
0.069705	1.68749
0.070230	2.06787
0.070755	2.26284
0.071280	2.20483
0.071805	1.90346
0.072331	1.48683
0.072856	1.14673
0.073382	1.00730
0.073908	1.13303
0.074433	1.47152
0.074958	1.87768
0.075484	2.18711
0.076010	2.26526
0.076534	2.07915
0.077059	1.70844
0.077584	1.30630
0.078109	1.04763
