Tiempo(s)	Voltaje(V)
0.000069	2.04687
0.000646	1.23052
0.001178	1.96147
0.001704	1.41668
0.002229	1.84782
0.002790	1.50133
0.003315	1.67379
0.003840	1.71166
0.004367	1.49247
0.004906	1.87043
0.005432	1.31033
0.005957	2.05090
0.006482	1.14753
0.007007	2.19194
0.007533	1.04119
0.008058	2.26687
0.008583	1.00569
0.009128	2.26848
0.009655	1.02180
0.010180	2.21692
0.010705	1.09919
0.011230	2.11138
0.011756	1.25071
0.012281	1.94052
0.012806	1.44412
0.013332	1.74147
0.013858	1.65043
0.014383	1.51664
0.014908	1.86157
0.015434	1.32242
0.015960	2.04204
0.016485	1.15962
0.017011	2.16455
0.017560	1.08228
0.018085	2.23867
0.018610	1.01455
0.019136	2.27256
0.019660	1.01616
0.020186	2.23223
0.020711	1.09355
0.021237	2.12024
0.021761	1.23052
0.022286	1.95180
0.022812	1.42554
0.023337	1.74791
0.023862	1.64152
0.024387	1.53436
0.024913	1.84540
0.025438	1.32806
0.025963	2.03479
0.026490	1.16123
0.027015	2.17502
0.027541	1.05569
0.028067	2.25559
0.028592	1.00569
0.029117	2.27337
0.029642	1.03313
0.030167	2.20483
0.030692	1.13384
0.031218	2.08076
0.031743	1.28938
0.032268	1.89138
0.032793	1.49408
0.033318	1.68024
0.033843	1.63104
0.034418	1.64071
0.034943	1.74308
0.035468	1.42715
0.035993	1.94777
0.036519	1.23863
0.037044	2.11621
0.037569	1.09839
0.038094	2.22900
0.038619	1.02180
0.039144	2.26848
0.039670	1.00971
0.040195	2.24351
0.040720	1.08308
0.041246	2.13716
0.041770	1.21279
0.042295	1.97355
0.042821	1.39090
0.043345	1.78095
0.043871	1.60848
0.044396	1.56175
0.044921	1.82284
0.045446	1.35867
0.045971	2.01464
0.046497	1.18218
0.047023	2.16455
0.047548	1.06374
0.048073	2.25076
0.048598	1.01697
0.049124	2.27014
0.049650	1.02744
0.050175	2.21531
0.050700	1.12175
0.051226	2.09768
0.051752	1.26360
0.052277	1.91877
0.052802	1.45782
0.053328	1.72133
0.053853	1.67218
0.054378	1.50294
0.054903	1.88010
0.055428	1.29825
